#separator:tab
#html:false
#notetype:Basic (and reversed card)
#columns:Front	Back
会います（あいます）	会う（あう）- to meet
遊びます（あそびます）	遊ぶ（あそぶ）- to play
洗います（あらいます）	洗う（あらう）- to wash
あります	ある - to exist (things)
歩きます（あるきます）	歩く（あるく）- to walk
言います（いいます）	言う（いう）- to say
行きます（いきます）	行く（いく）- to go
要ります（いります）	要る（いる）- to need
歌います（うたいます）	歌う（うたう）- to sing
売ります（うります）	売る（うる）- to sell
置きます（おきます）	置く（おく）- to put/place
押します（おします）	押す（おす）- to push/press
泳ぎます（およぎます）	泳ぐ（およぐ）- to swim
終わります（おわります）	終わる（おわる）- to end
買います（かいます）	買う（かう）- to buy
返します（かえします）	返す（かえす）- to return (something)
帰ります（かえります）	帰る（かえる）- to go home
かかります	かかる - to take (time/money)
書きます（かきます）	書く（かく）- to write
貸します（かします）	貸す（かす）- to lend
被ります（かぶります）	被る（かぶる）- to wear (hat)
聞きます（ききます）	聞く（きく）- to listen/ask
切ります（きります）	切る（きる）- to cut
曇ります（くもります）	曇る（くもる）- to become cloudy
消します（けします）	消す（けす）- to turn off/erase
困ります（こまります）	困る（こまる）- to be troubled
咲きます（さきます）	咲く（さく）- to bloom
差します（さします）	差す（さす）- to open (umbrella)
死にます（しにます）	死ぬ（しぬ）- to die
閉まります（しまります）	閉まる（しまる）- to close (intransitive)
知ります（しります）	知る（しる）- to know
吸います（すいます）	吸う（すう）- to smoke/inhale
住みます（すみます）	住む（すむ）- to live/reside
座ります（すわります）	座る（すわる）- to sit
出します（だします）	出す（だす）- to take out/submit
立ちます（たちます）	立つ（たつ）- to stand
頼みます（たのみます）	頼む（たのむ）- to request/ask
違います（ちがいます）	違う（ちがう）- to differ/be wrong
使います（つかいます）	使う（つかう）- to use
着きます（つきます）	着く（つく）- to arrive
作ります（つくります）	作る（つくる）- to make
飛びます（とびます）	飛ぶ（とぶ）- to fly/jump
止まります（とまります）	止まる（とまる）- to stop (intransitive)
撮ります（とります）	撮る（とる）- to take (photo)
取ります（とります）	取る（とる）- to take/get
鳴ります（なります）	鳴る（なる）- to ring/sound
なります	なる - to become
習います（ならいます）	習う（ならう）- to learn
脱ぎます（ぬぎます）	脱ぐ（ぬぐ）- to take off (clothes)
登ります（のぼります）	登る（のぼる）- to climb
飲みます（のみます）	飲む（のむ）- to drink
乗ります（のります）	乗る（のる）- to ride/get on
入ります（はいります）	入る（はいる）- to enter
履きます（はきます）	履く（はく）- to wear (shoes/pants)
始まります（はじまります）	始まる（はじまる）- to begin (intransitive)
走ります（はしります）	走る（はしる）- to run
働きます（はたらきます）	働く（はたらく）- to work
話します（はなします）	話す（はなす）- to speak/talk
貼ります（はります）	貼る（はる）- to stick/paste
引きます（ひきます）	引く（ひく）- to pull/play (instrument)
降ります（ふります）	降る（ふる）- to fall (rain/snow)
曲がります（まがります）	曲がる（まがる）- to turn/bend
待ちます（まちます）	待つ（まつ）- to wait
磨きます（みがきます）	磨く（みがく）- to brush/polish
持ちます（もちます）	持つ（もつ）- to hold/have
もらいます	もらう - to receive
休みます（やすみます）	休む（やすむ）- to rest/take a day off
やります	やる - to do
呼びます（よびます）	呼ぶ（よぶ）- to call (someone)
読みます（よみます）	読む（よむ）- to read
分かります（わかります）	分かる（わかる）- to understand
渡ります（わたります）	渡る（わたる）- to cross
渡します（わたします）	渡す（わたす）- to hand over
開けます（あけます）	開ける（あける）- to open
上げます（あげます）	上げる（あげる）- to give/raise
浴びます（あびます）	浴びる（あびる）- to take a shower
います	いる - to exist (living things)
入れます（いれます）	入れる（いれる）- to put in/insert
